channel,pMP_U,pMP_p,pMP_AUC,pMP_median_control,pMP_median_MDD,pMP_n_control,pMP_n_MDD,HFD_U,HFD_p,HFD_AUC,HFD_median_control,HFD_median_MDD,HFD_n_control,HFD_n_MDD,pMP_pBonf,pMP_sig_p<0.05,pMP_sig_pBonf<0.05,pMP_sig_frontier,HFD_pBonf,HFD_sig_p<0.05,HFD_sig_pBonf<0.05,HFD_sig_frontier
62,336.0,0.20542570708751917,0.6086956521739131,18.538745631981868,18.149393939393335,24,23,225.0,0.28250397161801766,0.4076086956521739,0.5880721471921194,0.6145972811801975,24,23,24.282930127731273,False,False,False,35.52342180390631,False,False,False
63,330.0,0.25488855203843164,0.5978260869565217,18.804442466864973,18.40266633141838,24,23,264.0,0.8066606559445169,0.4782608695652174,0.6069643911085825,0.6082843997905032,24,23,29.68749604481516,False,False,False,36.57515014317637,False,False,False
64,325.0,0.3020025360436831,0.5887681159420289,18.373203481078235,18.084837518369625,24,23,226.0,0.2921439804957928,0.40942028985507245,0.6133128382427734,0.6333125716763185,24,23,4.787848702700124,False,False,False,36.64358523954565,False,False,False
65,331.0,0.2461151672187305,0.5996376811594203,18.086918602841237,17.663552869956895,24,23,239.0,0.4372935444271038,0.4329710144927536,0.6166213225720021,0.6438385485557065,24,23,29.385143331481355,False,False,False,6.347755373877884,False,False,False
66,352.0,0.10810994430993735,0.6376811594202898,18.40481412043351,17.724621094762412,24,23,240.0,0.4499549276146769,0.43478260869565216,0.6208769330240524,0.6451316562042698,24,23,13.621852983052106,False,False,False,25.670526135030205,False,False,False
67,350.0,0.11777439286349586,0.6340579710144928,18.452098974630566,17.763284057080945,24,23,238.0,0.4248397357489112,0.4311594202898551,0.6093221604209609,0.6239383959628557,24,23,14.844193090034718,False,False,False,37.346258992018186,False,False,False
68,351.0,0.11286065749608003,0.6358695652173914,18.453542497008954,17.77175409795374,24,23,239.0,0.4372935444271038,0.4329710144927536,0.6093023068649691,0.6245772602349168,24,23,25.282331720365395,False,False,False,24.034807729239745,False,False,False
69,298.0,0.6472754956287547,0.5398550724637681,18.22808808935243,18.07876006917932,24,23,238.0,0.4248397357489112,0.4311594202898551,0.610958624992763,0.6485735090434819,24,23,21.569699244189515,False,False,False,2.9236024754861667,False,False,False
70,305.0,0.5441693209533585,0.552536231884058,18.25647370562772,17.89927598485937,24,23,245.0,0.5162846617279295,0.4438405797101449,0.6282843933339434,0.6506441621553276,24,23,24.85763188909178,False,False,False,1.9830202093430034,False,False,False
71,323.0,0.32237665407895655,0.5851449275362319,18.396612944853942,17.79916693311531,24,23,252.0,0.6169953637949551,0.45652173913043476,0.6222021136968419,0.6245590945999534,24,23,18.55319508672389,False,False,False,24.240233436327262,False,False,False
72,336.0,0.20542570708751917,0.6086956521739131,18.502850038447853,17.907152296572217,24,23,235.0,0.388744069374785,0.4257246376811594,0.5942137988643067,0.6200142101266976,24,23,5.7454184432401485,False,False,False,33.08048296224625,False,False,False
73,310.0,0.47589071739669675,0.5615942028985508,18.576981063244872,18.33281529888361,24,23,188.0,0.06258566157626287,0.34057971014492755,0.5942935042879067,0.6495540757904802,24,23,15.7561207942457,False,False,False,38.044538365158026,False,False,False
74,303.0,0.5727830892082293,0.5489130434782609,18.50836482684516,18.22359546257749,24,23,225.0,0.28250397161801766,0.4076086956521739,0.611826179675974,0.6494501861206168,24,23,11.788688551487498,False,False,False,29.127397303293964,False,False,False
75,309.0,0.4891597095761495,0.5597826086956522,18.384626469870753,17.756532387581878,24,23,252.0,0.6169953637949551,0.45652173913043476,0.6143079683344043,0.6332063809497027,24,23,30.460795041947843,False,False,False,33.317749644927574,False,False,False
76,339.0,0.18348917031903877,0.6141304347826086,18.38717037765165,17.637205197904166,24,23,243.0,0.4891597095761495,0.44021739130434784,0.6067200352282285,0.6321034195519408,24,23,29.01389886710609,False,False,False,34.92132990892485,False,False,False
77,338.0,0.19059976364421682,0.6123188405797102,18.431715196417674,17.884523653864917,24,23,240.0,0.4499549276146769,0.43478260869565216,0.6091139789804707,0.625649096966672,24,23,27.178506599392797,False,False,False,32.23497294346588,False,False,False
78,317.0,0.388744069374785,0.5742753623188406,18.574330907356277,18.38920010170169,24,23,253.0,0.6320582930091349,0.4583333333333333,0.6076703957232465,0.5995270701005795,24,23,20.183808735094264,False,False,False,23.486860520056744,False,False,False
