channel,svm_loo_accuracy,svm_loo_balanced_accuracy,svm_loo_auc,svm_kfold_accuracy,svm_kfold_balanced_accuracy,svm_kfold_auc,multirocket_accuracy,multirocket_balanced_accuracy,hc2_accuracy,hc2_balanced_accuracy
76,0.5380952380952381,0.5143066764490096,0.5044020542920029,0.5714285714285714,0.545487894350697,0.482987894350697,0.7952380952380952,0.7904438738077769,0.8,0.7937454145267792
70,0.5571428571428572,0.5335656639765224,0.5315939104915627,0.5571428571428572,0.5244864269992663,0.5436537050623624,0.680952380952381,0.6769075568598679,0.7238095238095238,0.7096478356566398
72,0.4952380952380952,0.4745047688921496,0.5208180484225973,0.5238095238095238,0.5023844460748349,0.5297138664710198,0.7333333333333333,0.7313829787234043,0.7523809523809524,0.742571533382245
75,0.4857142857142857,0.4658840792369773,0.5569057226705796,0.5095238095238095,0.4834005869405722,0.5518158473954512,0.7333333333333333,0.7303741746148202,0.7666666666666667,0.7595377842993397
78,0.4523809523809524,0.4407556859867938,0.4795487894350697,0.5380952380952381,0.5233859134262656,0.4939930300807043,0.7380952380952381,0.7346845194424065,0.6857142857142857,0.6711298606016141
74,0.5,0.4808327219369039,0.5078870139398386,0.5285714285714286,0.5046771826852531,0.4798239178283198,0.7142857142857143,0.7090975788701394,0.7380952380952381,0.7326669112252384
79,0.4952380952380952,0.4724871606749816,0.3894900953778429,0.5761904761904761,0.5497982391782832,0.4733125458547322,0.7142857142857143,0.7070799706529713,0.7428571428571429,0.7268892149669846
77,0.5142857142857142,0.4927549523110785,0.5125641966250917,0.5428571428571428,0.5186170212765957,0.5030722670579604,0.7476190476190476,0.7453228173147469,0.7380952380952381,0.7276228906823183
80,0.5142857142857142,0.4937637564196625,0.3118121790168745,0.5095238095238095,0.4874358033749083,0.4945432868672047,0.719047619047619,0.7154255319148937,0.7761904761904762,0.7600880410858402
81,0.4523809523809524,0.4397468818782098,0.5183418928833456,0.4714285714285714,0.4559794570799707,0.5632795304475422,0.8,0.8028246515040351,0.7857142857142857,0.7868672046955245
82,0.4857142857142857,0.4679016874541453,0.4913793103448276,0.5190476190476191,0.5011005135730007,0.4639123257520176,0.7619047619047619,0.7592626559060895,0.8095238095238095,0.8023661041819516
84,0.5380952380952381,0.5112802641232576,0.4701027146001467,0.5476190476190477,0.5199009537784299,0.4866104181951577,0.7904761904761904,0.7851247248716067,0.7428571428571429,0.7319332355099046
83,0.4714285714285714,0.4448826118855465,0.5518158473954513,0.5285714285714286,0.4996331621423331,0.5325568598679384,0.8,0.7957630227439472,0.7571428571428571,0.7488994864269993
85,0.4714285714285714,0.4479090242112986,0.5432868672046955,0.5190476190476191,0.4980741012472487,0.5246239911958914,0.780952380952381,0.7805392516507703,0.7761904761904762,0.7621056493030081
88,0.5095238095238095,0.4934886280264123,0.3863719735876742,0.5095238095238095,0.4894534115920763,0.5061445341159208,0.8047619047619048,0.8030997798972854,0.8142857142857143,0.8097028613352898
87,0.5285714285714286,0.5097212032281732,0.3529897285399853,0.5571428571428572,0.5355832721936904,0.4850513573000733,0.7333333333333333,0.7323917828319884,0.7476190476190476,0.7372523844460748
86,0.5,0.4848679383712398,0.513848129126926,0.5714285714285714,0.550531914893617,0.503026412325752,0.7047619047619048,0.7014856933235509,0.7523809523809524,0.742571533382245
91,0.5238095238095238,0.505410858400587,0.5035766691122524,0.4666666666666667,0.4496515040352164,0.5047688921496698,0.7047619047619048,0.705520909757887,0.7333333333333333,0.7223037417461482
89,0.4952380952380952,0.4795487894350697,0.4908749082905356,0.5285714285714286,0.5117388114453412,0.4842259721203228,0.7333333333333333,0.7263389581804842,0.7904761904761904,0.7780630961115187
96,0.4904761904761904,0.4792736610418194,0.4823917828319883,0.5,0.4858767424798239,0.5061445341159208,0.7,0.6931401320616287,0.7238095238095238,0.7086390315480557
90,0.5142857142857142,0.4947725605282465,0.474046221570066,0.4857142857142857,0.4679016874541453,0.5069699192956714,0.7476190476190476,0.7433052090975789,0.7619047619047619,0.7532098312545854
93,0.4904761904761904,0.4712032281731474,0.543470286133529,0.5095238095238095,0.4904622157006603,0.5325568598679384,0.6857142857142857,0.6832355099046221,0.6666666666666666,0.6508620689655172
95,0.5190476190476191,0.5111885546588408,0.4664343360234776,0.4952380952380952,0.4795487894350697,0.5084831254585473,0.6761904761904762,0.6705796038151137,0.7428571428571429,0.7369772560528247
