feature,channel,n_subjects,n_class0,n_class1,accuracy_loo
pmp+hfd,41,47,23,24,0.5106382978723404
pmp+hfd,42,47,23,24,0.5319148936170213
pmp+hfd,43,47,23,24,0.5319148936170213
pmp+hfd,44,47,23,24,0.48936170212765956
pmp+hfd,45,47,23,24,0.5106382978723404
pmp+hfd,46,47,23,24,0.5319148936170213
pmp+hfd,47,47,23,24,0.425531914893617
pmp+hfd,48,47,23,24,0.14893617021276595
pmp+hfd,49,47,23,24,0.46808510638297873
pmp+hfd,50,47,23,24,0.5531914893617021
pmp+hfd,51,47,23,24,0.574468085106383
pmp+hfd,52,47,23,24,0.5106382978723404
pmp+hfd,53,47,23,24,0.5957446808510638
pmp+hfd,54,47,23,24,0.5531914893617021
pmp+hfd,55,47,23,24,0.48936170212765956
pmp+hfd,56,47,23,24,0.5106382978723404
pmp+hfd,57,47,23,24,0.6595744680851063
pmp+hfd,58,47,23,24,0.5106382978723404
pmp+hfd,59,47,23,24,0.5106382978723404
pmp+hfd,60,47,23,24,0.574468085106383
pmp+hfd,61,47,23,24,0.44680851063829785
pmp+hfd,62,47,23,24,0.5319148936170213
pmp+hfd,63,47,23,24,0.574468085106383
pmp+hfd,64,47,23,24,0.5106382978723404
pmp+hfd,65,47,23,24,0.19148936170212766
pmp+hfd,66,47,23,24,0.48936170212765956
pmp+hfd,67,47,23,24,0.44680851063829785
pmp+hfd,68,47,23,24,0.44680851063829785
pmp+hfd,69,47,23,24,0.40425531914893614
pmp+hfd,70,47,23,24,0.14893617021276595
pmp+hfd,71,47,23,24,0.2978723404255319
pmp+hfd,72,47,23,24,0.3191489361702128
pmp+hfd,73,47,23,24,0.44680851063829785
pmp+hfd,74,47,23,24,0.425531914893617
pmp+hfd,75,47,23,24,0.2127659574468085
pmp+hfd,76,47,23,24,0.3617021276595745
pmp+hfd,77,47,23,24,0.3829787234042553
pmp+hfd,78,47,23,24,0.1702127659574468
pmp+hfd,79,47,23,24,0.0851063829787234
pmp+hfd,80,47,23,24,0.48936170212765956
pmp+hfd,81,47,23,24,0.574468085106383
pmp+hfd,82,47,23,24,0.2765957446808511
pmp+hfd,83,47,23,24,0.425531914893617
pmp+hfd,84,47,23,24,0.5106382978723404
pmp+hfd,85,47,23,24,0.5106382978723404
pmp+hfd,86,47,23,24,0.14893617021276595
pmp+hfd,87,47,23,24,0.425531914893617
pmp+hfd,88,47,23,24,0.425531914893617
pmp+hfd,89,47,23,24,0.5106382978723404
pmp+hfd,90,47,23,24,0.5319148936170213
pmp+hfd,91,47,23,24,0.40425531914893614
pmp+hfd,92,47,23,24,0.14893617021276595
pmp+hfd,93,47,23,24,0.46808510638297873
pmp+hfd,94,47,23,24,0.46808510638297873
pmp+hfd,95,47,23,24,0.3191489361702128
pmp+hfd,96,47,23,24,0.2553191489361702
pmp+hfd,97,47,23,24,0.14893617021276595
pmp+hfd,98,47,23,24,0.3404255319148936
pmp+hfd,99,47,23,24,0.3404255319148936
pmp+hfd,100,47,23,24,0.3617021276595745
pmp+hfd,101,47,23,24,0.19148936170212766
pmp+hfd,102,47,23,24,0.425531914893617
pmp+hfd,103,47,23,24,0.2978723404255319
pmp+hfd,104,47,23,24,0.3404255319148936
pmp+hfd,105,47,23,24,0.3829787234042553
pmp+hfd,106,47,23,24,0.3191489361702128
pmp+hfd,107,47,23,24,0.40425531914893614
pmp+hfd,108,47,23,24,0.3404255319148936
pmp+hfd,109,47,23,24,0.46808510638297873
pmp+hfd,110,47,23,24,0.5106382978723404
pmp+hfd,111,47,23,24,0.23404255319148937
pmp+hfd,112,47,23,24,0.2127659574468085
pmp+hfd,113,47,23,24,0.44680851063829785
pmp+hfd,114,47,23,24,0.40425531914893614
pmp+hfd,115,47,23,24,0.14893617021276595
pmp+hfd,116,47,23,24,0.5319148936170213
pmp+hfd,117,47,23,24,0.1702127659574468
pmp+hfd,118,47,23,24,0.40425531914893614
pmp+hfd,119,47,23,24,0.6595744680851063
pmp+hfd,120,47,23,24,0.574468085106383
pmp+hfd,121,47,23,24,0.5106382978723404
pmp+hfd,122,47,23,24,0.2553191489361702
pmp+hfd,123,47,23,24,0.19148936170212766
pmp+hfd,124,47,23,24,0.3829787234042553
pmp+hfd,125,47,23,24,0.44680851063829785
pmp+hfd,126,47,23,24,0.3404255319148936
pmp+hfd,127,47,23,24,0.1276595744680851
pmp+hfd,128,47,23,24,0.1276595744680851
