feature,channel,fold,accuracy,balanced_accuracy,auc,samples
pMP,100,4,0.5555555555555556,0.525,0.4,47
pMP,100,5,0.5555555555555556,0.525,0.6,47
pMP,101,1,0.5,0.5,0.44,47
pMP,101,2,0.5,0.5,0.39999999999999997,47
pMP,101,3,0.4444444444444444,0.5,0.6,47
pMP,101,4,0.4444444444444444,0.425,0.45,47
pMP,101,5,0.3333333333333333,0.375,0.45,47
pMP,102,1,0.5,0.5,0.4,47
pMP,102,2,0.5,0.5,0.24000000000000002,47
pMP,102,3,0.4444444444444444,0.5,0.55,47
pMP,102,4,0.4444444444444444,0.45,0.6499999999999999,47
pMP,102,5,0.4444444444444444,0.5,0.45,47
pMP,103,1,0.5,0.5,0.3600000000000001,47
pMP,103,2,0.5,0.5,0.52,47
pMP,103,3,0.4444444444444444,0.5,0.7,47
pMP,103,4,0.3333333333333333,0.3,0.4,47
pMP,103,5,0.4444444444444444,0.5,0.5,47
pMP,104,1,0.5,0.5,0.36,47
pMP,104,2,0.5,0.5,0.32,47
pMP,104,3,0.4444444444444444,0.5,0.29999999999999993,47
pMP,104,4,0.5555555555555556,0.525,0.35000000000000003,47
